,Actual Pickup Time,Booking ID,Pickup ID,Dropoff ID,Actual Dropoff Time,Pickup Latitude,Pickup Longitude,Dropoff Latitude,Dropoff Longitude,name,district,Passenger status,Rounded Pickup Time,Pickup Date,Pickup Hour
85,2024-09-02 10:40:00,254486,38,30,2024-09-02 10:50:00,49.010337,11.502283,49.036378,11.470632,"Paulushofen, Dorfstraße",Paulushofen,Trip completed,2024-09-02 10:00:00,2024-09-02,10
86,2024-09-02 11:01:00,254492,29,0,2024-09-02 11:14:00,49.035103,11.474083,48.992168,11.377365,"Beilngries, Rathaus",Beilngries,Trip completed,2024-09-02 11:00:00,2024-09-02,11
87,2024-09-02 11:01:00,254511,29,0,2024-09-02 11:14:00,49.035103,11.474083,48.992168,11.377365,"Beilngries, Rathaus",Beilngries,Trip completed,2024-09-02 11:00:00,2024-09-02,11
88,2024-09-02 11:09:00,254504,53,18,2024-09-02 11:17:00,48.998413,11.530053,49.039483,11.467702,Amtmannsdorf,Amtmannsdorf,Trip completed,2024-09-02 11:00:00,2024-09-02,11
89,2024-09-02 11:15:00,254340,27,0,2024-09-02 11:30:00,49.041112,11.47124,48.992168,11.377365,"Beilngries, Hafen",Beilngries,Cancelled,2024-09-02 11:00:00,2024-09-02,11
90,2024-09-02 11:19:00,254515,0,19,2024-09-02 11:32:00,48.992168,11.377365,49.033832,11.471982,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-02 11:00:00,2024-09-02,11
91,2024-09-02 11:22:00,254338,27,0,2024-09-02 11:37:00,49.041112,11.47124,48.992168,11.377365,"Beilngries, Hafen",Beilngries,Cancelled,2024-09-02 11:00:00,2024-09-02,11
92,2024-09-02 11:28:00,251833,29,50,2024-09-02 11:45:00,49.035103,11.474083,48.976827,11.559612,"Beilngries, Rathaus",Beilngries,Trip completed,2024-09-02 11:00:00,2024-09-02,11
93,2024-09-02 11:45:00,254295,50,38,2024-09-02 11:52:00,48.976827,11.559612,49.010337,11.502283,"Wolfsbuch, Fuchsengasse",Wolfsbuch,Trip completed,2024-09-02 11:00:00,2024-09-02,11
94,2024-09-02 11:58:00,254549,36,64,2024-09-02 12:10:00,49.013625,11.502735,49.068532,11.455142,"Paulushofen, Am Haar",Paulushofen,Trip completed,2024-09-02 11:00:00,2024-09-02,11
95,2024-09-02 12:03:00,254395,27,0,2024-09-02 12:26:00,49.041112,11.47124,48.992168,11.377365,"Beilngries, Hafen",Beilngries,Cancelled,2024-09-02 12:00:00,2024-09-02,12
96,2024-09-02 12:04:00,254487,30,38,2024-09-02 12:11:00,49.036378,11.470632,49.010337,11.502283,"Beilngries, Frauenkirche",Beilngries,Trip completed,2024-09-02 12:00:00,2024-09-02,12
97,2024-09-02 12:24:00,254154,62,7,2024-09-02 12:32:00,49.054378,11.463912,49.016552,11.413603,Goesselthal,Oberndorf,Trip completed,2024-09-02 12:00:00,2024-09-02,12
98,2024-09-02 12:45:00,247605,30,40,2024-09-02 12:56:00,49.036378,11.470632,48.994215,11.461103,"Beilngries, Frauenkirche",Beilngries,Trip completed,2024-09-02 12:00:00,2024-09-02,12
99,2024-09-02 13:21:00,254363,30,40,2024-09-02 13:32:00,49.036378,11.470632,48.994215,11.461103,"Beilngries, Frauenkirche",Beilngries,Cancelled,2024-09-02 13:00:00,2024-09-02,13
100,2024-09-02 13:26:00,254612,50,30,2024-09-02 13:39:00,48.976827,11.559612,49.036378,11.470632,"Wolfsbuch, Fuchsengasse",Wolfsbuch,Trip completed,2024-09-02 13:00:00,2024-09-02,13
101,2024-09-02 13:25:00,254276,2,59,2024-09-02 13:42:00,48.993652,11.361228,49.058008,11.516585,"Enkering, Feuerwehrhaus",Enkering,Trip completed,2024-09-02 13:00:00,2024-09-02,13
102,2024-09-02 13:51:00,254244,50,29,2024-09-02 14:27:00,48.976827,11.559612,49.035103,11.474083,"Wolfsbuch, Fuchsengasse",Wolfsbuch,Cancelled,2024-09-02 13:00:00,2024-09-02,13
103,2024-09-02 13:57:00,254265,22,0,2024-09-02 14:10:00,49.032928,11.479163,48.992168,11.377365,"Beilngries, Kelheimer Straße",Beilngries,Trip completed,2024-09-02 13:00:00,2024-09-02,13
104,2024-09-02 14:14:00,251947,64,27,2024-09-02 14:20:00,49.068532,11.455142,49.041112,11.47124,"Plankstetten, Biberbacher Straße",Biberbach,Trip completed,2024-09-02 14:00:00,2024-09-02,14
105,2024-09-02 14:10:00,253470,4,1,2024-09-02 14:12:00,49.000562,11.38279,48.992498,11.363953,"Kinding, Marktplatz",Kinding,Cancelled,2024-09-02 14:00:00,2024-09-02,14
106,2024-09-02 14:23:00,253898,19,15,2024-09-02 14:27:00,49.033832,11.471982,49.03815,11.451488,"Beilngries, Ringstrasse",Beilngries,Trip completed,2024-09-02 14:00:00,2024-09-02,14
107,2024-09-02 14:25:00,241742,8,67,2024-09-02 14:32:00,49.017505,11.404733,49.048472,11.431715,"Haunstetten, Gewerbegebiet",Haunstetten,Cancelled,2024-09-02 14:00:00,2024-09-02,14
108,2024-09-02 14:26:00,254155,7,19,2024-09-02 14:35:00,49.016552,11.413603,49.033832,11.471982,"Haunstetten, Kuehlerstrasse",Haunstetten,Trip completed,2024-09-02 14:00:00,2024-09-02,14
109,2024-09-02 14:24:00,254410,8,31,2024-09-02 14:33:00,49.017505,11.404733,49.035227,11.467885,"Haunstetten, Gewerbegebiet",Haunstetten,Trip completed,2024-09-02 14:00:00,2024-09-02,14
110,2024-09-02 14:34:00,254613,30,50,2024-09-02 14:48:00,49.036378,11.470632,48.976827,11.559612,"Beilngries, Frauenkirche",Beilngries,Trip completed,2024-09-02 14:00:00,2024-09-02,14
111,2024-09-02 14:46:00,254144,41,28,2024-09-02 14:56:00,48.97066,11.475578,49.036912,11.471075,"Grampersdorf, Kirchstraße",Grampersdorf,Cancelled,2024-09-02 14:00:00,2024-09-02,14
112,2024-09-02 14:57:00,254149,30,0,2024-09-02 15:15:00,49.036378,11.470632,48.992168,11.377365,"Beilngries, Frauenkirche",Beilngries,Cancelled,2024-09-02 14:00:00,2024-09-02,14
113,2024-09-02 14:53:00,254344,0,27,2024-09-02 15:07:00,48.992168,11.377365,49.041112,11.47124,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-02 14:00:00,2024-09-02,14
114,2024-09-02 14:56:00,254530,0,30,2024-09-02 15:27:00,48.992168,11.377365,49.036378,11.470632,"Kinding, Bahnhof",Kinding,Cancelled,2024-09-02 14:00:00,2024-09-02,14
115,2024-09-02 15:02:00,254688,21,38,2024-09-02 15:07:00,49.033525,11.475793,49.010337,11.502283,"Beilngries, Deutscher Hof",Beilngries,Trip completed,2024-09-02 15:00:00,2024-09-02,15
